QuestionsCM2francais,reponse,Mauvaisereponse1,Mauvaisereponse2
Comment écrit-on 'retrouver' dans la phrase : Lucie veut ' ? ' son chapeau.,retrouver,retrouvée,retrouvé
Dans le dictionnaire que veut dire 'n. m. ' ?,Nom Masculin,Neige Magique,Nomination Masculine
Combien de personnes parlent dans un monologue ?,1,2,3
Le contraire s'appelle aussi :,Antonyme,Synonyme,Patronyme
Choisis la bonne réponse qui convient à la phrase : ... tracteurs sont beaux.,ces,ses,c'est
Oh ! Les footballeurs ... des chaussures blanches.,ont,sont,on
Mario ... une salopette bleue avec des boutons jaunes.,a,as,à
"Le samedi matin Noémie aime accompagner son père ... ... marché.",au,haut,ho
... ... ! Que ces fleurs sont belles !,ho,au,haut
Antoine aime jouer au football avec ... ... copains.,ses,ces,salt
Théo ... ... le linge avec son père.,étend,étang,étends
Le père de Sacha utilise une ... ... pour couper du bois.,scie,si,six
Simon et sa famille partiront au Québec dans ... ... mois.,six,si,scie
Comment s'écrit le mot hibou au pluriel ?,hiboux,hibous,hibou
Joli est un ?,adjectif,nom,verbe
Trouve la bonne conjugaison : Il faut que tu ...,aies,as,avais
Comment s'écrit Gaz au pluriel ?,Gaz,Gazs,Gazes
Laquelle de ces phrases est au présent ?,J'aime le chocolat.,J'aimerais le chocolat.,J'aimais le chocolat.
"Au participe passé avec l'auxiliaire avoir j'accorde si le cod est :",Avant le verbe,Après le verbe,à côté du verbe
Quelle est la terminaison du participé passé avec l'auxiliaire être si le sujet est au féminin pluriel ?,ées,és,ée
