QuestionsMaths,reponse,mauvaisereponse1,mauvaisereponse2
Quel signe utilise-t-on pour calculer une addition ?,"""+"".","""-"".","""X""."
"Si on ajoute 2 dizaines et 3unités à 4 combien obtient-on ?","""27"".","""24"".","""28""."
Samia a 15€. Combien lui manque-t-il pour acheter un ballon à 20€ ?,"""5€"".","""10€"".","""2€""."
"Si on retire 1 dizaine et 1 unité à 45 combien obtient-on ?","""34"".","""33"".","""35""."
Léa a 2 billet de 10€ et 1 billet de 5€. Combien a-t-elle en tout ?,"""25€""","""24"".","""35""."
Trouve l'intrus : ,"""Carré"".","""Rectangle"".","""Cercle""."
Quel nombre est égal à 23 + 10 ?,"""33"".","""24"".","""34""."
Marie a 15 bonbons. Elle en mange 3. Combien lui en reste-t-il ?,"""12"".","""18"".","""10""."
Quel nombre est égal à 65 + 12 ?,"""77"".","""75"".","""72""."
Quel  est le plus grand resultat ?,"""26-1"".","""20+4"".","""22+1""."
Quelle figure géométrique a 4 côtés 2 longueurs égales et 2 largeurs égales ?,"""Rectangle"".","""Cercle"".","""Triangle""."
"Tom achète un livre à 8€ un stylo à 5€ et une gomme à 2€. Combien dépense-t-il ?","""15€"".","""16€"".","""17€""."
Vrai ou faux ? 36 est égal à 10+10+10+3+3.,"""Vrai"".","""Faux"".",
"Complète cette suite : 23 25 27 ...","""29"".","""30"".","""28""."
Combien faut-il ajouter à 7 pour obtenir 27 ?,"""20"".","""19"".","""18""."
Quel est le chiffre des unités dans 90 .,"""0"".","""9"".",
Quel instrument doit-on utiliser pour tracer un trait droit.,"""Une règle"".","""Un stylo"".","""Une feuille""."
Laura cueille 12 roses et 20 tulipes. Combien a-t-elle de fleurs dans son bouquet ?,"""32"".","""12"".","""20""."
"Si on ajoute 9 unités à 25 combien obtient-on ?","""34"".","""33"".","""32""."
Quel signe utilise-t-on pour calculer une soustraction ?,"""-"".","""+"".","""X""."
