questionsCPhistoire,reponse,Mauvaisereponse1,Mauvaisereponse2
De quelle famille fait parti Clovis?,Les Mérovingiens,Les bourbons,Les capétiens
Quand a lieu la révolution française?,1789,1914,1612
Qu'est ce que la monarchie absolue?,Le roi gouverne seul,Le roi gouverne avec le peuple,C'est un président qui a été élu
Où Vercingétorix est-il capturé?,À Alésia,À Rome,À Athènes
Que veut dire Sédentaire?,personne qui fixe son habitat et ses récoltes,Personne n'ayant pas de d'habitat fixe,Personne allant à la guerre
Qu'est ce qu'un dictateur?,Un chef qui a tous les pouvoirs,Un chef d'armée,Un politicien
Que veut dire démocratie?,Le pouvoir au peuple ,Le pouvoir aux grands,Le pouvoir à un petit nombre
Qui est Vercingétorix?,Un chef gaulois,Un chef égyptien ,Un chef romain
Qui est jules César?,Un chef romain,un chef militaire grec,un dieu égyptien
Que veut dire Nomade?,Une personne qui se déplace continuellement,Une personne qui s'installe durablement,Une personne qui fait de l'agriculture
Où les jeux olympiques ont-ils été inventés?,En Grèce,Aux Etats-Unis,En France
Les jeux olympiques d'été ont lieu tous les combien?,4 ans,3 ans ,2 ans
Dans quel pays trouve-t-on particulièrement les hiéroglyphes?,En Egypte,En Italie,En Grèce
Quelles sont les dates de la première guerre mondiale?,1914-1918,1789-1804,1939-1945
Quelle ville devient la capitale des Gaules ?,Lugdunum(Lyon),Lutèce(Paris),Massalia(Marseille)
"Sur la frise chronologique, quelle période se situe après l'Antiquité ?",Le Moyen Âge,Les Temps Modernes,La Préhistoire
Comment a-t-on pu retracer la vie des hommes préhistoriques ?,Grâce aux fouilles archéologiques,Grâce Aux films et vidéos,Grâce aux livres qu'ils ont laissés
Qu'est-ce que la préhistoire ?,La période avant l'apparition de l'écriture,La période où les dinosaures vivaient encore,La période où Louis XIV régnait
Jules César est :,Romain,Ottoman,Gaulois
"A quelle période,Jules César a-t-il vécu ?",L'antiquité,La Préhistoire,Le Moyen âge
